解析,設定,項目,調整オッズ比,95%CI下限,95%CI上限
給付年度の扱い,連続値,切片,0.4061711348704447,0.36850765101419786,0.44768403138416474
給付年度の扱い,連続値,場合別1：その他（少数カテゴリ）（対 課外指導）,0.09559082720460249,0.0325949673928499,0.2803379471293661
給付年度の扱い,連続値,場合別1：休憩時間（対 課外指導）,0.9770836421923927,0.8093467970529736,1.1795838907576042
給付年度の扱い,連続値,場合別1：各教科等（対 課外指導）,0.7597297724345454,0.6383834298768416,0.9041420878276851
給付年度の扱い,連続値,場合別1：学校行事（対 課外指導）,1.0183834541875498,0.7761270727368038,1.3362565180285408
給付年度の扱い,連続値,場合別1：特別活動（除学校行事）（対 課外指導）,1.196587780445401,0.8794760065480262,1.6280402258285633
給付年度の扱い,連続値,場合別1：通学中（対 課外指導）,3.0521610276531734,2.512837075699756,3.7072387337848847
給付年度の扱い,連続値,被災学校種：その他（少数カテゴリ）（対 高）,0.4910311880965882,0.19725395917903996,1.2223411316408561
給付年度の扱い,連続値,被災学校種：中（対 高）,0.5020441622262081,0.43543998342982904,0.5788360059177537
給付年度の扱い,連続値,被災学校種：小（対 高）,0.3288143015875484,0.27207176760166485,0.3973909012375072
給付年度の扱い,連続値,被災学校種：特中（対 高）,1.441288550243815,0.7236269488811432,2.8706955818544566
給付年度の扱い,連続値,被災学校種：特高（対 高）,1.553807058396101,0.9735922918334344,2.4798022693616333
給付年度の扱い,連続値,被災学校種：高専（対 高）,0.7013522570691112,0.33563984297267896,1.4655440907710613
給付年度の扱い,連続値,性別：女（対 男）,0.9106363635901409,0.7947661004732975,1.0433995438391708
給付年度の扱い,連続値,給付年度（西暦換算・標準化）,0.813913145980218,0.7674997170123968,0.8631333595510833
給付年度の扱い,5年区分,切片,0.5016761533555367,0.4404422768810711,0.5714232626073876
給付年度の扱い,5年区分,場合別1：その他（少数カテゴリ）（対 課外指導）,0.09637702366826022,0.032967640317316166,0.28174690702002153
給付年度の扱い,5年区分,場合別1：休憩時間（対 課外指導）,0.9825911378384601,0.8138973777490434,1.1862494837234587
給付年度の扱い,5年区分,場合別1：各教科等（対 課外指導）,0.7605380567878615,0.6390821651762482,0.9050763224837268
給付年度の扱い,5年区分,場合別1：学校行事（対 課外指導）,1.0184441599591842,0.7762512150956493,1.3362021041437744
給付年度の扱い,5年区分,場合別1：特別活動（除学校行事）（対 課外指導）,1.2124072085464226,0.8911832689708307,1.6494152106702544
給付年度の扱い,5年区分,場合別1：通学中（対 課外指導）,3.0551466282928867,2.5152109061746786,3.7109893637369455
給付年度の扱い,5年区分,被災学校種：その他（少数カテゴリ）（対 高）,0.48984706443671827,0.19731844504309146,1.2160553286585492
給付年度の扱い,5年区分,被災学校種：中（対 高）,0.5028846547418777,0.43619512619061596,0.5797702926748065
給付年度の扱い,5年区分,被災学校種：小（対 高）,0.32862792496530535,0.27192501236057093,0.39715476016527634
給付年度の扱い,5年区分,被災学校種：特中（対 高）,1.4266988536769045,0.7166103796648569,2.8404132522263192
給付年度の扱い,5年区分,被災学校種：特高（対 高）,1.552292973625574,0.9732953844714283,2.475726808543252
給付年度の扱い,5年区分,被災学校種：高専（対 高）,0.6909186969245477,0.33049879772004,1.4443884487721677
給付年度の扱い,5年区分,性別：女（対 男）,0.9106858830647815,0.794854901417122,1.0433964439734358
給付年度の扱い,5年区分,給付年度区分：2010–2014（対 2005–2009）,0.8677439991675586,0.7481778198152226,1.0064180307794628
給付年度の扱い,5年区分,給付年度区分：2015–2019（対 2005–2009）,0.730074108021148,0.6264162457879903,0.8508850253913607
給付年度の扱い,5年区分,給付年度区分：2020–2023（対 2005–2009）,0.5701713790859535,0.47432706713274114,0.6853823533494445
