主成分,寄与率,累積寄与率
PC1,0.18135725,0.18135725
PC2,0.11652025,0.2978775
PC3,0.07674167,0.37461916
PC4,0.05424005,0.4288592
PC5,0.05074741,0.47960663
PC6,0.046155475,0.5257621
PC7,0.041160315,0.5669224
PC8,0.037455115,0.60437757
PC9,0.02880176,0.6331793
PC10,0.022014044,0.6551933
