列名,カテゴリ数（欠損除外）,欠損数,1件のカテゴリ数,5件未満のカテゴリ数,最小カテゴリ件数,最大カテゴリ件数
和暦,2,0,0,0,270,1313
給付年度,19,0,0,0,42,127
種別,1,0,0,0,1583,1583
被災学校種,8,0,0,1,2,886
被災学年,6,0,0,0,54,548
性別,2,0,0,0,392,1191
場合別1,8,0,0,1,2,687
場合別2,35,8,3,11,1,674
競技種目,38,698,6,16,1,352
通学方法,3,1321,1,1,1,218
発生場所1,3,0,0,0,484,602
発生場所2,18,0,0,2,2,567
遊具等,9,1545,2,6,1,12
Step7_入力元カテゴリ,1,0,0,0,1583,1583
Step7_歯牙障害フラグ,1,0,0,0,1583,1583
