項目,調整オッズ比,95%CI下限,95%CI上限,モデル
高校,2.4693207933242056,2.2029994946083704,2.7678377572334627,高校
通学中,3.3412601192326385,2.7964618710061777,3.9921943152965818,通学中
自転車,5.689150429823539,4.531448687578448,7.142623660703438,自転車
道路,3.3100099950840707,2.779780872154596,3.941377637822357,道路
通学中かつ自転車かつ道路,5.837995929030372,4.641791975292666,7.342465291160813,通学状況の組合せ
その他の通学中,1.2273650987129914,0.878113228170336,1.71552487448297,通学状況の組合せ
